"McId","ICD9CM"
"NRF023","237"
"APR006","755"
"PFF001","075"
"ANH001","136"
"TTZ003","733"
"HYP731","255"
"ALZ034","331"
"AMY091","335"
"ANR048","743"
"SPN225","720"
"APN008","327"
"ATH013","440"
"ATR048","426"
"ATM095","720"
"GST092","530"
"BLD045","596"
"BLD134","188"
"ART115","424"
"BHC003","136"
"BRK010","200"
"CLR023","153"
"CRP001","354"
"HPT023","155"
"CLF027","749"
"CLB003","377"
"CRN317","371"
"CRT072","046"
"CRD002","758"
"VBR001","708"
"DBT091","588"
"MLT020","340"
"DMN031","331"
"DYS056","333"
"MLT156","258"
"EXD008","362"
"FCT001","286"
"ESP021","150"
"FLT011","714"
"FBR011","728"
"GST095","535"
"GRS011","046"
"GLL008","307"
"GLC092","365"
"HNT016","333"
"HYP739","272"
"HYP742","374"
"HYP595","401"
"HYP595","402"
"HYP595","403"
"HYP595","404"
"HYP595","405"
"INC002","359"
"INT051","560"
"KRT019","370"
"KPS004","176"
"LMY014","218"
"LKM070","206"
"LKM071","204"
"LPM012","214"
"SYS001","710"
"MRC002","374"
"MCK029","751"
"MRF001","759"
"MNR012","386"
"MGR028","346"
"MTN003","994"
"MYT021","359"
"MLT159","258"
"CYC010","288"
"NRF024","237"
"OBS002","300"
"OPT070","377"
"OTT002","382"
"OST002","733"
"OVR042","183"
"PTL009","717"
"PRK057","332"
"PRN011","281"
"MLT160","258"
"PCK003","331"
"PTY003","696"
"MCC012","756"
"PRS040","185"
"PLV020","569"
"PRD006","759"
"EXF001","365"
"PSD008","377"
"PLM085","516"
"PLM134","516"
"RTN017","361"
"RHM011","714"
"APL002","750"
"SCH072","732"
"SCH015","295"
"KRT071","702"
"SRC025","135"
"NRL016","741"
"ODN023","756"
"STR020","378"
"STF001","333"
"CHR619","755"
"TTR001","745"
"TMP003","446"
"TST044","608"
"THR100","287"
"TRG002","350"
"DGR001","279"
"TRT020","368"
"DWN001","758"
"URT051","189"
"UTR058","621"
"VLC001","758"
"VSC019","593"
"VLV047","560"
"WLF001","426"
"LPD012","255"
"ANM038","283"
"TKY002","446"
"ATS364","299"
"BRG013","443"
"LNG032","162"
"CRN239","277"
"CLC063","579"
"CHR637","363"
"CRN288","371"
"CRN276","371"
"MCL075","371"
"CRY035","752"
"CYS001","277"
"EBS001","746"
"SPL033","755"
"ELL001","756"
"END020","425"
"FRD001","334"
"FRC011","271"
"GST009","756"
"GLC113","271"
"GLC097","743"
"RNL024","271"
"GDP001","446"
"HRT035","746"
"LYM133","201"
"HYP058","278"
"IMM167","279"
"TCL025","279"
"INT303","348"
"KR002","046"
"LPR021","030"
"SPL024","755"
"LYM004","528"
"FML018","277"
"MCK013","753"
"MYM013","437"
"SPN393","335"
"SPN394","335"
"MYS003","358"
"MYC006","202"
"MYL005","238"
"MYL069","203"
"3MT016","377"
"NNR004","377"
"OST164","733"
"SBC001","046"
"PNC035","157"
"PHN003","270"
"PTT046","253"
"INT304","516"
"PLY170","753"
"PLY001","207"
"PLM017","516"
"RFS006","356"
"SJG008","710"
"SDD001","798"
"GRV008","242"
"AND002","259"
"CTS003","362"
"BDY004","278"
"ORF040","758"
"FRG001","759"
"WSK001","279"
"CHR081","363"
"CLR133","368"
"HMP004","286"
"RTN209","361"
"SPL070","755"
"FTL002","046"
"KRN002","378"
"ADN027","617"
"AST005","493"
"LKM061","205"
"ATM006","279"
"MYT020","359"
"AST006","367"
"MCL042","362"
"PLY006","755"
"CRV035","180"
"MCR129","362"
"SCK003","282"
"BRT054","756"
"ALP101","282"
"ASC010","127"
"RFL001","337"
"ORT004","306"
"LNG108","202"
"SPL034","755"
"ABD014","277"
"NPH078","274"
"PRS012","363"
"ATR001","745"
"VTL004","709"
"GLC084","365"
"SPL025","755"
"ANR007","307"
"NSP012","147"
"PTN014","747"
"PSR001","696"
"CHR654","356"
"LKM063","205"
"PRT010","194"
"MJR001","296"
"LGN006","482"
"SVR097","695"
"GRN037","446"
"CHN065","748"
"APL001","284"
"ESP035","530"
"MLR004","084"
"INT323","365"
"KWS002","446"
"DBT084","250"
"FCT002","286"
"MCR115","362"
"LKM062","204"
"MSC165","359"
"ALP103","273"
"GST053","151"
"BTT014","282"
"ASP006","117"
"BRR014","530"
"PRP009","674"
"ART101","395"
"LPT014","278"
"RBF001","266"
"BLD161","360"
"MLD001","025"
"MCP040","277"
"LPP008","746"
"CHR100","707"
"PRP027","443"
"DFC004","281"
"PYR010","607"
"PLM037","416"
"CHL147","483"
"BCT021","995"
"STR103","481"
"LVD003","709"
"DSS032","079"
"LCR004","062"
"LRY004","464"
"TBR002","016"
"ADN002","474"
"CRY001","516"
"TCK001","063"
"LMB002","358"
"RST001","333"
"CNG006","243"
"EXN002","782"
"EPD015","080"
"EXN001","058"
"VRL003","050"
"EXD001","362"
"CNG010","368"
"HRD007","757"
"TNS007","123"
"TTH002","520"
"INT017","120"
"ATR057","426"
"RHM028","398"
"FCL049","333"
"TRC087","397"
"SLP006","780"
"SLV026","142"
"PRV006","299"
"CHM005","558"
"FML023","346"
"DVR006","558"
"CRH005","555"
"BLC015","341"
"ATR011","427"
"PTS002","374"
"CNG513","743"
"GLL020","575"
"ADN067","474"
"LNG095","513"
"MST019","383"
"UMB002","756"
"ING001","550"
"CRV068","219"
"ECT026","633"
"OMP004","756"
"CRD119","427"
"ACR097","701"
"ATY042","205"
"SLM003","003"
"ISL003","253"
"WLD007","273"
"BLD130","753"
"HMP030","320"
"MNN032","036"
"TNG007","141"
"VTM036","268"
"SPL061","755"
"HYP730","758"
"ISL078","743"
"CMB007","279"
"SNS001","389"
"AMP013","156"
"TBS001","094"
"DDN010","152"
"MGR003","346"
"CMP003","518"
"PLV003","614"
"PLM198","518"
"CYC001","367"
"EYC003","367"
"ASY002","094"
"LTC001","090"
"SYP001","094"
"SYP002","094"
"SPR006","123"
"DPH003","123"
"HYM001","123"
"INT009","324"
"ACT005","371"
"TRY001","086"
"CRB004","434"
"KRT007","371"
"PGM003","709"
"CRN024","371"
"VNS003","459"
"CNJ010","372"
"CYS005","123"
"LNG027","170"
"MLG006","170"
"MCK001","152"
"ILM001","152"
"SML016","152"
"XRP001","375"
"LCR003","375"
"PSY001","306"
"OPT010","362"
"SKN002","214"
"PSY003","302"
"OST017","730"
"LPM001","214"
"OST003","732"
"SLP001","086"
"CHL004","574"
"BRD005","030"
"HST003","115"
"PLR008","511"
"EHR002","082"
"TBR006","030"
"EXH001","302"
"LPN001","063"
"STR003","575"
"BRW002","378"
"DSC001","388"
"SBN002","410"
"MMP001","072"
"LFT001","426"
"HRT008","426"
"PNT003","103"
"ART004","440"
"SLD003","527"
"MNC001","378"
"ASB001","501"
"PNM006","505"
"END033","421"
"SLC006","502"
"ANT018","500"
"GLC005","377"
"CHR091","322"
"DRM010","710"
"BLP004","374"
"VRL012","047"
"SLT004","610"
"BRS039","610"
"FBR016","610"
"SPP007","368"
"DSS006","368"
"AMB002","368"
"AMT001","368"
"YWS001","102"
"SMN004","098"
"SCN005","731"
"PNM005","020"
"ACT062","523"
"EPD017","187"
"STB001","371"
"AMY003","353"
"PRL012","382"
"ESN006","322"
"MRN002","370"
"MYC004","370"
"KLP003","756"
"MRG002","370"
"HYP062","370"
"HYP084","364"
"RNG002","370"
"PRF002","370"
"TNS005","474"
"PTL003","726"
"DNT010","521"
"CMM005","460"
"DPH021","519"
"NSP002","472"
"ADR010","255"
"ORB010","376"
"MLG042","380"
"DRS001","411"
"CHR052","380"
"ACT044","380"
"DBL001","372"
"VRL005","480"
"PYL007","151"
"GST026","151"
"CRD005","151"
"PYL003","151"
"ACT045","381"
"SPN031","669"
"OST011","268"
"LTY001","102"
"ERL004","102"
"BCH001","380"
"MLD002","642"
"LKD001","330"
"IDP007","356"
"CHR056","307"
"CHR071","356"
"PLR001","010"
"TRP004","579"
"BLN006","579"
"ALL007","708"
"PRM016","377"
"PRT024","377"
"MCR013","743"
"PNC028","579"
"ACT048","098"
"ACT050","410"
"ACT051","410"
"ACT052","410"
"RSD002","365"
"OPN001","365"
"SCH011","301"
"LCT003","611"
"HYP078","611"
"FTN001","611"
"CHR059","360"
"GRD001","007"
"TXC004","242"
"PRG008","121"
"CRB018","330"
"BRD006","183"
"PTR001","383"
"CHR098","590"
"PRT013","572"
"BBN001","020"
"MSN002","289"
"FDL001","422"
"MTH007","289"
"CHR040","473"
"PRM012","289"
"CHR038","473"
"CHR039","473"
"PRM013","256"
"ACT039","098"
"SPT003","422"
"FLR002","125"
"TBL004","726"
"GST023","531"
"NSL008","160"
"SXL001","302"
"MLG039","401"
"CHY001","608"
"VYR001","302"
"MRR003","062"
"EST003","062"
"MDD006","385"
"SXL002","302"
"SLV003","527"
"ANG012","569"
"PRT015","378"
"PRL014","378"
"TTL002","378"
"KHN001","362"
"ILC001","451"
"WST002","062"
"STL001","062"
"HND002","074"
"EPD011","074"
"HRP001","074"
"LPR001","030"
"BNG021","401"
"TRN007","302"
"AMN003","294"
"SBR002","082"
"MCR010","742"
"BRD004","301"
"GST013","534"
"DPN001","301"
"OBS003","301"
"MLT010","300"
"IMP006","312"
"JPN002","062"
"DSS010","300"
"SCH004","301"
"CHL020","385"
"TNG004","529"
"PRN010","301"
"ANT011","301"
"STR008","127"
"CHL122","385"
"SPS006","343"
"SPS003","343"
"SPS005","343"
"HMP005","343"
"ACT031","614"
"SLP004","614"
"SPS004","343"
"FTL004","773"
"CNJ005","372"
"PSD006","372"
"ANR003","569"
"OVR049","256"
"PNG001","372"
"CRN026","371"
"BLL004","371"
"SCN003","371"
"IDP006","371"
"CNT008","371"
"CHR021","582"
"DSS002","300"
"DPR002","300"
"PST010","027"
"LCH001","134"
"CHR077","363"
"MYS004","134"
"ASP004","768"
"TRN004","083"
"RCK003","083"
"PLP001","522"
"QLT001","287"
"PSY002","302"
"DSL001","385"
"ACQ005","287"
"BRT043","088"
"SPT005","082"
"PRS014","600"
"AQS001","365"
"PRL002","375"
"SRC014","171"
"MLR001","705"
"HYD002","591"
"ANH002","705"
"HYP023","365"
"NNT004","770"
"BRC012","023"
"HNC001","287"
"ENP001","376"
"TTL001","367"
"CMM003","078"
"ANG005","078"
"SRS002","381"
"NNS006","381"
"ACT067","372"
"ALL004","117"
"PLP002","522"
"RSP003","518"
"ACT018","465"
"PSD004","372"
"SRS003","372"
"QFV001","083"
"HYP024","252"
"ESP002","456"
"OPD001","305"
"PRM005","252"
"PRT030","252"
"ANG003","372"
"CHR015","384"
"CNJ002","372"
"ACT077","376"
"ORB005","376"
"ORB004","376"
"ORB003","376"
"ACT012","077"
"ADH006","385"
"ORB006","376"
"APP010","153"
"PLT001","776"
"ANM001","776"
"TRN017","776"
"DCN001","776"
"DSS009","286"
"VTM033","269"
"SCL003","300"
"BRL001","081"
"ORN001","073"
"CTS002","078"
"HNT019","078"
"CHR013","522"
"TRC008","076"
"SLR002","363"
"PRP004","363"
"PLM011","242"
"VNT001","495"
"KRT002","371"
"RTN004","362"
"VRT001","433"
"RBS001","071"
"AFR001","115"
"MBT001","426"
"CRC001","120"
"HST002","115"
"RHN002","040"
"KYS001","065"
"SCH003","295"
"ERY004","035"
"LMR001","040"
"STN004","594"
"PHL003","066"
"FNC002","564"
"LNS001","379"
"CNG005","743"
"ANL005","564"
"GNT004","128"
"CRN027","370"
"PNM001","136"
"GNG003","523"
"EXP001","315"
"TTN003","037"
"CRB005","437"
"PYL005","590"
"HRT032","429"
"ALT003","378"
"END008","617"
"FLL006","617"
"END012","617"
"END009","617"
"EXT022","378"
"END010","617"
"BRN008","348"
"PRN005","774"
"END011","617"
"HMP001","423"
"ACQ002","368"
"IDP004","337"
"CRD001","423"
"MTR002","396"
"RMN001","307"
"HYP006","402"
"FSS001","529"
"ABN004","379"
"SPP008","382"
"BNG003","403"
"CNS002","423"
"LRY002","478"
"RCR001","371"
"CRN004","370"
"BWM001","371"
"CRN023","371"
"ACT083","381"
"ACT002","381"
"ATN002","337"
"CHN059","712"
"RTN001","362"
"HYP008","362"
"STR002","320"
"FNC006","536"
"PHL001","370"
"CDQ001","344"
"RNG001","379"
"BLD003","188"
"INF021","778"
"PLV002","618"
"DNT006","522"
"ACC002","367"
"PLY011","256"
"PRS025","367"
"CNJ011","372"
"NPH010","587"
"PLN005","719"
"PNL012","187"
"HYP046","374"
"CCT002","694"
"HYP045","374"
"HYP044","374"
"INF022","702"
"ACT046","522"
"PRT018","452"
"ONC002","125"
"HRT007","164"
"ANT016","305"
"DBT008","250"
"LST001","027"
"PRM017","183"
"PTS001","758"
"UTR030","183"
"RND001","183"
"BRD007","033"
"SDR001","360"
"ACT047","360"
"NNT058","775"
"IRN001","280"
"LYM017","088"
"SPN033","379"
"LKC002","360"
"BLN008","360"
"ABS022","360"
"RGL001","367"
"NCR006","385"
"SPL009","289"
"PHT005","371"
"CHR058","289"
"CHR057","476"
"PRT038","263"
"URN006","188"
"BLD026","188"
"URN007","188"
"ODN001","521"
"BLD027","188"
"URC001","188"
"VTR002","379"
"URT023","188"
"BLD029","188"
"HPT014","572"
"KHL001","732"
"MYP006","367"
"DGN002","360"
"CRT012","377"
"GLN007","187"
"TRN011","367"
"CLB002","754"
"IND004","030"
"MNC005","378"
"PRP012","363"
"ABN003","368"
"MCL004","370"
"FML030","174"
"GST037","536"
"LBM004","184"
"TNC001","110"
"VGN017","184"
"ESP024","530"
"NPH012","581"
"PST029","627"
"CNJ008","372"
"TRC025","162"
"ULC006","021"
"ATR009","608"
"OST014","756"
"HYP061","425"
"SPR017","608"
"FRN007","191"
"DRG004","292"
"SYM002","360"
"KRN003","773"
"PNV001","360"
"SRC006","321"
"PYL002","537"
"DLF001","537"
"DPC001","370"
"TRN008","716"
"NTR002","377"
"SDK001","026"
"BLL005","361"
"OPT009","377"
"INF009","720"
"PST015","515"
"PLM006","516"
"EPS002","379"
"NRT003","370"
"PCD001","307"
"DYS009","300"
"TYM001","385"
"DTR001","596"
"NRG002","596"
"LWC001","596"
"CRY005","117"
"PRP026","362"
"PSD005","362"
"RTN005","362"
"CBB001","362"
"CNN003","255"
"SCN004","362"
"ULN002","354"
"DYS008","246"
"CHG001","086"
"RDL001","354"
"GTR002","240"
"BLS004","362"
"TNC003","110"
"OTS001","387"
"DSC005","153"
"SPL003","153"
"SPR019","370"
"ALV002","122"
"SNL002","362"
"PNC012","370"
"SPC002","727"
"OLG003","658"
"PLC002","727"
"HST005","115"
"CMM004","279"
"MDL001","255"
"CHR018","614"
"ANS004","367"
"NTR004","288"
"CTN005","032"
"DNG003","061"
"MLG017","186"
"FMR001","451"
"ATY001","296"
"PRN009","295"
"INT014","155"
"CNJ004","372"
"ANT008","371"
"STR006","371"
"CGH001","493"
"VGT001","364"
"GRN055","371"
"CRM001","065"
"KYP001","416"
"CHR096","416"
"MRS001","261"
"CSC001","537"
"TRN006","302"
"PRM236","571"
"MLG025","608"
"MLN007","606"
"PRM009","360"
"MLG026","608"
"VRC001","456"
"PRS020","601"
"ALC006","571"
"PTL001","381"
"VRL004","386"
"END034","376"
"FTS001","302"
"LTR005","376"
"THY013","376"
"RTR004","158"
"INT026","376"
"PLS001","376"
"PRL004","618"
"GND002","302"
"CRN022","371"
"SPN046","335"
"BRN014","485"
"DYS015","009"
"SPS002","374"
"ENT005","374"
"KLP001","312"
"LKM002","208"
"PYR003","312"
"BLN004","007"
"TNP001","110"
"THY002","246"
"LXT001","360"
"CNJ001","378"
"INT025","301"
"LBM005","184"
"PNC001","284"
"SCN001","588"
"VLV032","184"
"PTH002","312"
"TBR003","016"
"VGS001","352"
"RTN003","362"
"BLL003","351"
"PLN002","355"
"PSN001","726"
"TRC012","127"
"BGS001","495"
"CMM002","355"
"LSN001","355"
"TRS001","355"
"BLD051","286"
"HYP010","724"
"TRC013","127"
"ATR004","384"
"SHG001","004"
"CPL001","127"
"VNW001","286"
"HML001","283"
"PHC001","365"
"ULC001","616"
"PHC002","365"
"CHR095","378"
"OLC001","726"
"NNT003","775"
"PRN004","618"
"DSP001","750"
"ACT073","208"
"HYP009","750"
"TTH001","521"
"VST006","388"
"ABN001","368"
"BNC002","368"
"BLS002","116"
"PSD001","335"
"VST001","386"
"PRC002","116"
"MXD002","315"
"DNR001","378"
"CPL005","448"
"BLC002","111"
"CHR017","098"
"LCK001","344"
"CRB008","437"
"HRN002","620"
"HRD008","448"
"HYP021","521"
"LCR005","190"
"CCT001","374"
"CHR410","190"
"MGR001","346"
"DBT004","357"
"MLT007","756"
"OCL011","378"
"HLL002","305"
"CRN007","371"
"CYC002","007"
"CHR002","375"
"SNL001","374"
"PRL015","618"
"ENT001","618"
"QDR001","344"
"HYP016","300"
"MCC003","527"
"PLS005","084"
"CRD246","429"
"SLL001","527"
"END021","425"
"PRL006","374"
"PLS006","084"
"INT035","202"
"ACT037","375"
"CND002","312"
"PHL004","375"
"INT057","202"
"VRT003","435"
"LBM003","116"
"HRD011","282"
"SHP001","077"
"TRN012","437"
"ALC010","425"
"BLN009","607"
"LGP001","374"
"SBC014","435"
"LSB001","087"
"TCK003","087"
"MCH005","374"
"CCT004","374"
"TRM002","365"
"DMN002","290"
"RNL011","588"
"ACQ008","701"
"TNN002","681"
"CRP004","620"
"JCC001","714"
"PRS030","747"
"BRN026","362"
"CNT028","362"
"PRV004","779"
"ACT061","461"
"MCH004","374"
"RLP003","087"
"CCT003","374"
"PRT025","281"
"GNC006","098"
"ACT079","580"
"SVR005","642"
"BNG028","405"
"BNG034","405"
"ESP018","112"
"PRP010","187"
"ACT068","595"
"DSS005","379"
"SPR014","187"
"HRD017","373"
"EXP003","376"
"ALL008","518"
"NDL006","600"
"END028","240"
"GT001","274"
"BCK003","362"
"BRN028","191"
"HLR003","362"
"SBM005","218"
"RGH001","426"
"RTN009","362"
"OCL007","021"
"TTH008","521"
"INT045","521"
"HVR001","026"
"DRR001","009"
"BRN120","162"
"KLB003","482"
"MYC087","483"
"DPH004","032"
"DPH005","032"
"INT046","014"
"CHR053","372"
"ANT015","365"
"DBT007","366"
"TXC008","377"
"CRT010","377"
"HYP049","529"
"TYP007","002"
"PRS026","372"
"LRY012","161"
"EGD001","302"
"PDP001","302"
"DFF011","370"
"SNL004","374"
"PRP029","277"
"RDN001","315"
"EHL001","756"
"TNM002","110"
"GST046","022"
"CLR019","368"
"PRF001","576"
"NRG001","564"
"SCR008","081"
"BSL004","433"
"GLN002","024"
"URT001","597"
"PST012","371"
"CRN002","371"
"ALX001","315"
"SCL015","379"
"HPT019","572"
"URT002","599"
"GNC002","098"
"CNT006","372"
"PRG012","372"
"SPR021","161"
"BLN002","607"
"GNC001","098"
"ACT014","386"
"ACT013","386"
"CHL012","299"
"JJN003","152"
"ACT015","386"
"VNS001","362"
"NNT001","771"
"URT004","597"
"LSS001","125"
"TRG001","595"
"PRL001","386"
"HYP069","252"
"TTN001","771"
"INT012","365"
"TBR001","759"
"SBS001","218"
"TBL002","726"
"OPT001","377"
"CRT003","366"
"MXL008","160"
"NNR001","252"
"CHL068","576"
"CCC001","114"
"KWS001","260"
"FRN009","160"
"FML002","628"
"DNT002","521"
"PHT002","370"
"ETH008","160"
